produtos,CLAS,vencimento,ESTOQUE
filme laser dray pro20.3X25.4,pct,,5.0
FILTRO BAC. VIRAL c/ TRAQ.,NULO,,0.0
FILTRO BAC. VIRAL C/TRAQ. ADULTO,NULO,,0.0
FIO AGULHA NYLON N°0/20 ,CX,,18.0
FIO AGULHA NYLON N°1/30 ,CX,,30.0
FIO AGULHA NYLON N°2/20 ,CX,,17.0
FIO AGULHA NYLON N°2/25,CX,,19.0
FIO AGULHA NYLON N°4/30,CX,,36.0
FIO AGULHA NYLON N°5/20 ,CX,,29.0
FIO AGULHA NYLON N°5/25,CX,,9.0
FIO AGULHA NYLON N°6/25,CX,,6.0
FIO DE SUTURA 3x25 ,CX,,4.0
FIO DE SUTURA 4X24,CX,,3.0
FIO DE SUTURA N°4X30,CX,,15.0
FIO P/SUTURA 2x30,CX,,10.0
FIO P/SUTURA 3X20 ,CX,,13.0
FIO P/SUTURA 4x20,CX,,10.0
FITA CIRÚRGICA MICROPOROSA  10CM,UND,,0.0
FITA CIRÚRGICA MICROPOROSA 05CM,UND,,0.0
FITA CREPE ,UND,,0.0
FITA CREPE HOSPITALAR 19/50,UND,2026-09-01 00:00:00,104.0
FITA CREPE ZEBRADA P/ AUTOCLAVE,UND,2026-01-01 00:00:00,899.0
FITA DUPLAFACE,NULO,,0.0
FITA DUREX 12MMM X 30 M,UND,,0.0
FITA DUREX COLORIDO,UND,,55.0
FITA DUREX FINA,UND,,123.0
FITA DUREX LARGA,UND,,53.0
FITA DUREX MÉDIA,UND,,26.0
FITA METRICA,NULO,,0.0
FITA P/ GLICOSE ,NULO,,0.0
FIXADOR CELULAR,UND,2026-06-01 00:00:00,128.0
FLANELA,,,
FOGÃO,,,
FOGÃO,,,
FORMOL 37% 1 LT,NULO,,0.0
FÓSFORO,,,
FRALDA ADULTO EG,PCT,,40.0
FRALDA ADULTO EG -PAM,NULO,,0.0
FRALDA ADULTO G,PCT,,90.0
FRALDA ADULTO G pam,NULO,,0.0
FRALDA ADULTO M,PCT,,104.0
FRALDA ADULTO M PAM,NULO,,0.0
FRALDA ADULTO P,,,81.0
FRALDA INFANTIL G C/24 pam,NULO,,0.0
FRALDA INFANTIL M C/24 pam,NULO,,0.0
FRALDA INFANTIL P C/8 pam,NULO,,0.0
FRAUDA ADULTO EG PAM,NULO,,0.0
GARRAFA,,,
GARROTE ADULTO,NULO,,0.0
GARROTE TUBO 200 15MTS,UND,,18.0
gel condutor 1kg,UND,2026-01-01 00:00:00,22.0
gel condutor 250 ml,NULO,,0.0
GEL CONDUTOR 5LTS,NULO,,0.0
GIZÃO DE CERA CX C/12 UND,UND,,0.0
GRAMPEADOR,NULO,,0.0
GRAMPO 26/6,UND,,22.0
GUARDANAPOS DE PAPEL 23X22CM,,,
guia de intuição para soda endotraqueal,UND,,2.0
INSETICIDA,,,
IODOPOLVIDINA DEGERMANTE 1L,UND,2026-03-01 00:00:00,30.0
ISQUEIRO,,,
jaleco descartável manga longa,NULO,,0.0
JOGO DA MEMÓRIA,NULO,,0.0
LÂMINA AÇO  INOX N°12,NULO,,0.0
LÂMINA AÇO CARBONO N°11,NULO,,0.0
LÂMINA AÇO CARBONO N°12,NULO,,0.0
LÂMINA AÇO CARBONO N°15,CX,,4.0
LÂMINA DE AÇO CARBONO N°22,NULO,,0.0
LÂMINA DE AÇO CARBONO N°23,NULO,,0.0
LÂMINA DE AÇO CARBONO N°24,NULO,,0.0
LÂMPADA,,,
lancetas para glicosímetro,NULO,,0.0
LAPIS DE COR,CX,,139.0
LAPIS PRETO,UND,,2165.0
LARINGOSCÓPIO C/LAMINAS KIT,NULO,,0.0
LAUDO P/ SOLICITAÇÃO DE INTERNAÇÃO,UND,,24.0
LENÇOL DE PAPEL DESCARTÁVEL ,UND,,1075.0
LIMPA ALUMÍNIO ,,,
LIVRO DE AGENDAMENTO DE COLETA,UND,,6.0
LIVRO DE ATA 100 FLS,UND,,40.0
LIVRO DE ATA 50 FLS,UND,,32.0
LIVRO DE COLETA DE DADOS E CONTROLE,UND,,6.0
LIVRO DE PONTO,UND,,10.0
LIVRO DE PROTOCOLO,NULO,,0.0
LIVRO DE REGISTRO  DE EXAMES PARASITOLÓGICOS,UND,,6.0
LIVRO DE REGISTRO  DE HEMOGRAMA,UND,,6.0
LIXEIRA  C/alça,,,
LIXEIRA  C/PEDAL ,,,
LIXEIRA BANHO,,,
